,YearStart,YearEnd,LocationAbbr,Topic,Question,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,DataValueTypeID,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Latitude,Longitude,HealthCluster
50267,2021,2021,IL,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,Crude Prevalence,13.7,8.0,22.5,Race/Ethnicity,"Multiracial, non-Hispanic",17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50268,2021,2021,GA,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among adults,Crude Prevalence,19.4,18.0,21.0,Overall,Overall,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50269,2021,2021,IL,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,Crude Prevalence,7.9,6.0,10.3,Sex,Male,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50270,2021,2021,IN,Social Determinants of Health,Living below 150% of the poverty threshold among all people,Crude Prevalence,24.7,22.1,27.6,Race/Ethnicity,"Multiracial, non-Hispanic",18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50271,2021,2021,KS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,Crude Prevalence,11.3,10.5,12.1,Overall,Overall,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50272,2021,2021,GA,Social Determinants of Health,High school completion among adults aged 18-24,Crude Prevalence,84.2,79.5,87.9,Race/Ethnicity,"Multiracial, non-Hispanic",13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50273,2021,2021,GU,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,Crude Prevalence,27.7,14.7,45.9,Race/Ethnicity,"Asian, non-Hispanic",66,CRDPREV,,,,,13.444304,144.793731,3
50274,2021,2021,GA,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,Crude Prevalence,70.3,67.1,73.3,Sex,Female,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50275,2021,2021,GA,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,Crude Prevalence,21.8,18.0,26.1,Sex,Male,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50276,2021,2021,HI,Sleep,Short sleep duration among high school students,Crude Prevalence,75.2,72.3,77.8,Grade,Grade 10,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50277,2021,2021,ID,Mental Health,Frequent mental distress among adults,Crude Prevalence,19.5,15.1,24.9,Race/Ethnicity,Hispanic,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50278,2021,2021,IA,Diabetes,Diabetes among adults,Crude Prevalence,9.7,8.9,10.4,Race/Ethnicity,"White, non-Hispanic",19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50279,2021,2021,HI,Diabetes,Diabetes among adults,Crude Prevalence,11.3,8.7,14.5,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50280,2021,2021,IL,Asthma,Current asthma among adults,Crude Prevalence,8.0,6.3,10.2,Age,Age 45-64,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50281,2021,2021,GA,Social Determinants of Health,Living below 150% of the poverty threshold among all people,Crude Prevalence,16.2,13.9,18.8,Race/Ethnicity,"Asian, non-Hispanic",13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50282,2021,2021,HI,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,Crude Prevalence,20.0,18.8,21.4,Overall,Overall,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50283,2021,2021,IL,Disability,Adults with any disability,Crude Prevalence,30.0,28.0,32.2,Overall,Overall,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50284,2021,2021,GA,Arthritis,Physical inactivity among adults with arthritis,Crude Prevalence,21.4,15.3,29.2,Age,Age 18-44,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50285,2021,2021,HI,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,Crude Prevalence,20.8,11.4,34.9,Race/Ethnicity,"Multiracial, non-Hispanic",15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50286,2021,2021,HI,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,Crude Prevalence,64.4,52.8,74.6,Race/Ethnicity,Hispanic,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50287,2021,2021,KY,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,Crude Prevalence,53.7,33.9,72.3,Race/Ethnicity,"Black, non-Hispanic",21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
50288,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students,Crude Prevalence,7.3,5.6,9.5,Race/Ethnicity,"White, non-Hispanic",20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50289,2021,2022,IN,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,Crude Prevalence,11.1,10.1,12.1,Overall,Overall,18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50290,2021,2021,HI,Diabetes,Gestational diabetes among women with a recent live birth,Crude Prevalence,10.8,8.8,13.2,Overall,Overall,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50291,2021,2021,GA,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,Crude Prevalence,40.0,33.7,46.6,Race/Ethnicity,Hispanic,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50292,2021,2021,KY,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,Crude Prevalence,58.5,54.1,62.8,Age,Age >=65,21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
50293,2021,2021,GA,Maternal Health,Postpartum checkup among women with a recent live birth,Crude Prevalence,82.8,72.1,90.0,Race/Ethnicity,Hispanic,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50294,2021,2021,FL,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students,Crude Prevalence,13.0,11.2,14.9,Grade,Grade 9,12,CRDPREV,,,,,28.932040377000476,-81.92896053899966,2
50295,2021,2021,ID,Arthritis,Physical inactivity among adults with arthritis,Crude Prevalence,27.1,24.7,29.6,Race/Ethnicity,"White, non-Hispanic",16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50296,2021,2021,GA,Social Determinants of Health,Unemployment rate among people 16 years and older in the labor force,Crude Prevalence,7.1,5.5,9.2,Race/Ethnicity,"Multiracial, non-Hispanic",13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50297,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students,Crude Prevalence,9.6,5.5,16.2,Race/Ethnicity,Hispanic,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50298,2021,2021,IA,"Nutrition, Physical Activity, and Weight Status",Consumed vegetables less than one time daily among high school students,Crude Prevalence,9.8,7.5,12.7,Sex,Male,19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50299,2021,2021,GU,Mental Health,Depression among adults,Crude Prevalence,9.5,7.2,12.5,Overall,Overall,66,CRDPREV,,,,,13.444304,144.793731,3
50300,2021,2021,KS,Cardiovascular Disease,High blood pressure among adults,Crude Prevalence,38.8,30.3,48.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50301,2021,2021,GU,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,32.9,26.6,39.9,Sex,Female,66,CRDPREV,,,,,13.444304,144.793731,3
50302,2021,2021,ID,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,Crude Prevalence,27.5,18.9,38.3,Race/Ethnicity,Hispanic,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50303,2021,2021,ID,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,Crude Prevalence,44.3,41.7,46.9,Age,Age 18-44,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50304,2021,2021,HI,Mental Health,Postpartum depressive symptoms among women with a recent live birth,Crude Prevalence,16.4,10.5,24.5,Race/Ethnicity,Hispanic,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50305,2021,2021,GA,Tobacco,Current cigarette smoking among adults,Crude Prevalence,8.6,7.3,10.2,Age,Age >=65,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50306,2021,2021,KS,Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth,Crude Prevalence,95.1,93.2,96.5,Overall,Overall,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50307,2021,2021,KS,Arthritis,Severe joint pain among adults with arthritis,Crude Prevalence,29.9,27.5,32.5,Age,Age 45-64,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50308,2021,2021,GU,Immunization,Influenza vaccination among adults,Crude Prevalence,34.9,31.0,39.1,Overall,Overall,66,CRDPREV,,,,,13.444304,144.793731,3
50309,2021,2021,IN,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,Crude Prevalence,9.8,4.9,18.7,Race/Ethnicity,"Black, non-Hispanic",18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50310,2021,2021,HI,"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students,Crude Prevalence,29.4,26.7,32.2,Sex,Male,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50311,2021,2021,GA,Disability,Adults with any disability,Crude Prevalence,38.0,27.4,50.0,Race/Ethnicity,"Multiracial, non-Hispanic",13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50312,2021,2021,ID,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,Crude Prevalence,38.6,34.9,42.5,Overall,Overall,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50313,2021,2021,IN,Arthritis,Physical inactivity among adults with arthritis,Crude Prevalence,39.4,32.3,46.9,Race/Ethnicity,"Black, non-Hispanic",18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50314,2021,2021,ID,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,Crude Prevalence,27.7,25.5,29.9,Age,Age >=65,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50315,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,Crude Prevalence,25.5,24.4,26.7,Sex,Female,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50316,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,Crude Prevalence,17.0,13.3,21.4,Overall,Overall,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50317,2021,2021,IA,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,Crude Prevalence,12.0,9.4,15.3,Sex,Female,19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50318,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,Crude Prevalence,12.4,4.5,29.6,Race/Ethnicity,"Asian, non-Hispanic",20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50319,2021,2021,IA,Tobacco,Current smokeless tobacco use among high school students,Crude Prevalence,1.9,0.4,9.0,Race/Ethnicity,"Multiracial, non-Hispanic",19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50320,2021,2021,HI,Mental Health,Depression among adults,Crude Prevalence,11.1,10.2,12.1,Overall,Overall,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
